1985/1986,Alessandro Condini
1986/1987,Alessandro Condini
1987/1988,Annarosa Molinari
1988/1989,Paola Matassoni
1989/1990,Giorgio Bertoldi
1990/1991,Giorgio Bertoldi
1991/1992,Edoardo De Abbondi
1992/1993,Vittorio Dusini
1993/1994,Claudia Eccher
1994/1995,Marco Franzinelli
1995/1996,Claudia Eccher
1996/1997,Giovanna Orlando
1997/1998,Sonia Petteni
1998/1999,Vittorio Cristanelli
1999/2000,Riccardo Sampaolesi
2000/2001,Alessia De Abbondi
2001/2002,Lavinia Sartori
2002/2003,Francesca Jerace
2003/2004,Guglielmo Reina
2004/2005,Maria Emanuela De Abbondi
2005/2006,Sara Filippi
2006/2007,Fabiola Jezza
2007/2008,Alessandro Pallaoro
2008/2009,Claire Albano
2009/2010,Arianna Bertagnolli
2010/2011,Thomas Zobele
2011/2012,Andrea Codroico
2012/2013,Stefano Lorenzini
2013/2014,—
2014/2015,Biagio Andrea Algieri
2015/2016,Davide H. Ciminelli
2016/2017,Oscar Pallaoro
2017/2018,Costance Giovannini
2018/2019,Annalisa De Pretis
2019/2020,Elisabetta Toller
2020/2021,Federica Berlanda
2021/2022,Jessica De Ponto
2022/2023,Elisabetta Tomasi
2023/2024,Lucia Del Torre
2024/2025,Daniele Di Lucrezia
2025/2026,Matteo Bellè
